ri	stratum
1.5208	FS
1.52281	FS
1.52117	FS
1.52079	FS
1.51972	FS
1.51966	FS
1.52041	FS
1.52321	FS
1.52146	FS
1.52039	FS
1.51985	FS
1.52004	FS
1.52007	FS
1.52201	FS
1.52168	FS
1.52113	FS
1.52178	FS
1.52219	FS
1.52202	FS
1.52214	FS
1.5198	FS
1.51971	FS
1.5224	FS
1.51972	FS
1.52242	FS
1.52334	FS
1.52269	FS
1.52323	FS
1.5196	FS
1.52187	FS
1.51917	NFS
1.51924	NFS
1.51913	NFS
1.51917	NFS
1.51917	NFS
1.51913	NFS
1.51915	NFS
1.51911	NFS
1.51908	NFS
1.51916	NFS
1.5191	NFS
1.51914	NFS
1.51912	NFS
1.51915	NFS
1.51913	NFS
1.51913	NFS
1.51914	NFS
1.51915	NFS
1.5191	NFS
1.51911	NFS
1.51918	NFS
1.51915	NFS
1.51914	NFS
1.51912	NFS
1.51915	NFS
1.51916	NFS
1.51912	NFS
1.51915	NFS
1.51912	NFS
1.51919	NFS
1.51919	B
1.51916	B
1.51919	B
1.51915	B
1.5192	B
1.51917	B
1.51916	B
1.51918	B
1.51914	B
1.51916	B
1.51916	B
1.51917	B
1.51917	B
1.51915	B
1.51914	B
1.51915	B
1.51916	B
1.51915	B
1.51911	B
1.51912	B
1.51916	B
1.51916	B
1.51914	B
1.5191	B
1.51916	B
1.51913	B
1.51917	B
1.51917	B
1.51917	B
1.51916	B
1.5192	NAFS
1.51915	NAFS
1.51914	NAFS
1.51911	NAFS
1.51916	NAFS
1.51912	NAFS
1.51917	NAFS
1.51916	NAFS
1.51916	NAFS
1.51914	NAFS
1.51926	NAFS
1.5192	NAFS
1.51916	NAFS
1.51918	NAFS
1.51918	NAFS
1.51913	NAFS
1.51921	NAFS
1.51916	NAFS
1.51916	NAFS
1.51921	NAFS
1.51916	NAFS
1.51924	NAFS
1.51919	NAFS
1.5192	NAFS
1.51923	NAFS
1.51917	NAFS
1.51917	NAFS
1.51918	NAFS
1.51916	NAFS
1.51917	NAFS
1.51875	AFS
1.51913	AFS
1.51901	AFS
1.51877	AFS
1.51901	AFS
1.51898	AFS
1.51925	AFS
1.51896	AFS
1.51848	AFS
1.51912	AFS
1.51899	AFS
1.51868	AFS
1.51911	AFS
1.51903	AFS
1.51901	AFS
1.51901	AFS
1.51901	AFS
1.5189	AFS
1.51903	AFS
1.51889	AFS
1.51871	AFS
1.5189	AFS
1.51921	AFS
1.51883	AFS
1.51866	AFS
1.51884	AFS
1.51902	AFS
1.51915	AFS
1.51914	AFS
1.51912	AFS
