standard	ri	temp	owner
B1	1.52912	39.97	RB
B1	1.52912	39.9	RB
B1	1.52912	39.97	RB
B1	1.52912	39.7	RB
B1	1.52912	39.76	RB
B2	1.52381	54.5	RB
B2	1.52381	54.49	RB
B2	1.52381	54.38	RB
B2	1.52381	54.5	RB
B2	1.52381	54.34	RB
B3	1.52249	57.82	RB
B3	1.52249	57.76	RB
B3	1.52249	57.72	RB
B3	1.52249	57.82	RB
B3	1.52249	57.86	RB
B5	1.51863	68.23	RB
B5	1.51863	68.23	RB
B5	1.51863	68.16	RB
B5	1.51863	68.26	RB
B5	1.51863	68.04	RB
B4	1.51856	68.55	RB
B4	1.51856	68.68	RB
B4	1.51856	68.69	RB
B4	1.51856	68.51	RB
B4	1.51856	68.56	RB
B6	1.51671	73.69	RB
B6	1.51671	73.84	RB
B6	1.51671	73.79	RB
B6	1.51671	73.58	RB
B6	1.51671	73.62	RB
B7	1.51467	76.28	RB
B7	1.51467	79.56	RB
B7	1.51467	79.61	RB
B7	1.51467	79.43	RB
B7	1.51467	79.5	RB
B8	1.51166	87.68	RB
B8	1.51166	87.78	RB
B8	1.51166	87.76	RB
B8	1.51166	87.94	RB
B8	1.51166	87.86	RB
B9	1.51048	90.96	RB
B9	1.51048	90.61	RB
B9	1.51048	90.75	RB
B9	1.51048	90.88	RB
B9	1.51048	90.82	RB
B10	1.50964	93.54	RB
B10	1.50964	93.48	RB
B10	1.50964	93.68	RB
B10	1.50964	93.28	RB
B10	1.50964	93.42	RB
B11	1.50566	104.14	RB
B11	1.50566	104.09	RB
B11	1.50566	103.98	RB
B11	1.50566	103.97	RB
B11	1.50566	104.26	RB
B12	1.50226	113.3	RB
B12	1.50226	113.28	RB
B12	1.50226	113.37	RB
B12	1.50226	113.38	RB
B12	1.50226	113.4	RB
B1	1.52912	38.7	GZ
B2	1.52381	54.09	GZ
B3	1.52249	57.41	GZ
B4	1.51856	68.13	GZ
B5	1.51863	67.36	GZ
B6	1.51671	73.84	GZ
B7	1.51467	79.12	GZ
B8	1.51166	87.6	GZ
B9	1.51048	90.67	GZ
B10	1.50964	93.08	GZ
B11	1.50566	103.75	GZ
B12	1.50226	113.43	GZ
B1	1.52912	39.32	GZ
B2	1.52381	54.07	GZ
B3	1.52249	57.15	GZ
B4	1.51856	68.31	GZ
B5	1.51863	68.05	GZ
B6	1.51671	73.15	GZ
B7	1.51467	78.71	GZ
B8	1.51166	87.57	GZ
B9	1.51048	90.36	GZ
B10	1.50964	92.87	GZ
B11	1.50566	104.19	GZ
B12	1.50226	112.99	GZ
B1	1.52912	39.44	GZ
B2	1.52381	54.18	GZ
B3	1.52249	57.24	GZ
B4	1.51856	68.18	GZ
B5	1.51863	67.78	GZ
B6	1.51671	73.46	GZ
B7	1.51467	79.08	GZ
B8	1.51166	87.61	GZ
B9	1.51048	90.37	GZ
B10	1.50964	92.97	GZ
B11	1.50566	103.79	GZ
B12	1.50226	113.21	GZ
B1	1.52912	39.09	GZ
B2	1.52381	53.94	GZ
B3	1.52249	57.05	GZ
B4	1.51856	68.31	GZ
B5	1.51863	67.79	GZ
B6	1.51671	73.16	GZ
B7	1.51467	79.14	GZ
B8	1.51166	87.51	GZ
B9	1.51048	89.99	GZ
B10	1.50964	93.14	GZ
B11	1.50566	103.77	GZ
B12	1.50226	112.43	GZ
B1	1.52912	37.31	GZ
B2	1.52381	53.89	GZ
B3	1.52249	57.58	GZ
B4	1.51856	68.29	GZ
B5	1.51863	67.83	GZ
B6	1.51671	73.88	GZ
B7	1.51467	79.12	GZ
B8	1.51166	87.46	GZ
B9	1.51048	90.45	GZ
B10	1.50964	93.22	GZ
B11	1.50566	103.72	GZ
B12	1.50226	113.28	GZ
