Standard	RI	MT1	MT2	MT3	MT4	MT5																																											
B1	1.52912	38.7	39.32	39.44	39.09	37.31																																											
B2	1.52381	54.09	54.07	54.18	53.94	53.89																																											
B3	1.52249	57.41	57.15	57.24	57.05	57.58																																											
B4	1.51856	68.13	68.31	68.18	68.31	68.29																																											
B5	1.51863	67.36	68.05	67.78	67.79	67.83																																											
B6	1.51671	73.84	73.15	73.46	73.16	73.88																																											
B7	1.51467	79.12	78.71	79.08	79.14	79.12																																											
B8	1.51166	87.6	87.57	87.61	87.51	87.46																																											
B9	1.51048	90.67	90.36	90.37	89.99	90.45																																											
B10	1.50964	93.08	92.87	92.97	93.14	93.22																																											
B11	1.50566	103.75	104.19	103.79	103.77	103.72																																											
B12	1.50226	113.43	112.99	113.21	112.43	113.28																																											
