1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49
1.519996	1.520003	1.520010	1.519981	1.519941	1.519974	1.520014	1.519985	1.520025	1.519978	1.519981	1.519941	1.519996	1.520000	1.520069	1.520010	1.519981	1.520007	1.520029	1.519989	1.520047	1.519992	1.519974	1.519963	1.519989	1.520047	1.520040	1.520014	1.519974	1.519788	1.520014	1.520007	1.519978	1.519981	1.520014	1.520007	1.519941	1.519974	1.519970	1.519996	1.519978	1.519996	1.519901	1.519974	1.520025	1.520007	1.519992	1.520043	1.520000
1.520000	1.520000	1.520000	1.520043	1.520010	1.520058	1.520007	1.519894	1.520051	1.519952	1.520014	1.520000	1.519919	1.520018	1.519970	1.519985	1.519967	1.519981	1.520040	1.520025	1.519981	1.519974	1.519981	1.519974	1.520025	1.519959	1.519996	1.519996	1.519927	1.520000	1.519981	1.520018	1.519792	1.519985	1.520010	1.519981	1.519927	1.519985	1.519959	1.519970	1.519992	1.519989	1.520000	1.519952	1.520029	1.520003	1.519850	1.520025	1.520043
1.520043	1.519970	1.520007	1.519963	1.519927	1.519930	1.520036	1.519981	1.520014	1.519941	1.520003	1.519981	1.519978	1.520014	1.519985	1.520029	1.519996	1.520032	1.519923	1.519970	1.519967	1.519992	1.519959	1.519956	1.520007	1.519905	1.519967	1.520014	1.519934	1.519989	1.520043	1.520032	1.519989	1.520065	1.519974	1.519963	1.519963	1.519985	1.519956	1.519981	1.519985	1.520018	1.519992	1.519959	1.519996	1.520000	1.519978	1.520051	1.520010
1.520000	1.520010	1.520021	1.519974	1.519981	1.519861	1.520014	1.519963	1.520036	1.519967	1.520007	1.519970	1.520007	1.520000	1.520058	1.520058	1.519989	1.520032	1.519978	1.520116	1.519959	1.520043	1.520054	1.520010	1.520072	1.519967	1.520032	1.519981	1.520000	1.519978	1.519890	1.520000	1.519927	1.519963	1.520047	1.519956	1.519963	1.520018	1.519996	1.520065	1.520065	1.519974	1.520018	1.520010	1.520010	1.519981	1.520014	1.520091	1.520003
1.520014	1.520000	1.520018	1.520109	1.519945	1.520065	1.520036	1.519948	1.520007	1.520000	1.519978	1.519959	1.519978	1.519992	1.520032	1.519989	1.520003	1.520018	1.519981	1.520010	1.519989	1.520047	1.519996	1.519959	1.520018	1.520025	1.519981	1.520014	1.520051	1.520025	1.519927	1.520018	1.519963	1.520007	1.520043	1.520010	1.519981	1.520123	1.519967	1.520032	1.520061	1.519989	1.520003	1.519981	1.520021	1.519992	1.520000	1.520145	1.520018
1.520000	1.519996	1.519981	1.519996	1.520040	1.520043	1.520043	1.519989	1.520051	1.519996	1.520010	1.519934	1.519996	1.520003	1.519959	1.519927	1.519996	1.520065	1.520000	1.519970	1.519989	1.519981	1.519967	1.519934	1.519923	1.520025	1.520003	1.519927	1.519967	1.520014	1.520043	1.520083	1.519959	1.519981	1.520007	1.520000	1.520003	1.520003	1.519952	1.520003	1.519996	1.519981	1.520029	1.520029	1.520040	1.519967	1.519956	1.520091	1.520010
1.520000	1.520010	1.520003	1.519887	1.520018	1.520003	1.520003	1.520010	1.520003	1.519978	1.520003	1.519996	1.519894	1.519941	1.520032	1.519901	1.519981	1.519948	1.519956	1.520010	1.520003	1.520007	1.520021	1.520032	1.519970	1.519992	1.519963	1.520000	1.519905	1.520091	1.519934	1.519996	1.519963	1.520025	1.520003	1.519978	1.520040	1.519989	1.519970	1.519967	1.519927	1.519992	1.520025	1.519912	1.520163	1.519948	1.519959	1.520007	1.519992
1.520021	1.519978	1.520007	1.519879	1.520007	1.520018	1.520036	1.520014	1.520014	1.519967	1.520021	1.519981	1.519941	1.520014	1.519985	1.519989	1.519967	1.519927	1.519989	1.520014	1.520021	1.520054	1.520054	1.519996	1.520032	1.520047	1.520010	1.519989	1.519959	1.519923	1.519970	1.519978	1.520003	1.520003	1.520040	1.519996	1.520098	1.519938	1.519981	1.519978	1.519956	1.520000	1.519978	1.520054	1.519985	1.519970	1.519996	1.520040	1.520007
1.520003	1.519956	1.520032	1.519981	1.519989	1.520014	1.520036	1.519963	1.519981	1.519989	1.519981	1.519952	1.519919	1.519989	1.519981	1.519978	1.520029	1.520014	1.519967	1.520025	1.519992	1.519989	1.520021	1.519967	1.520007	1.520010	1.519981	1.520029	1.520010	1.520014	1.519985	1.520018	1.519923	1.520000	1.520047	1.519970	1.519956	1.520003	1.519989	1.519970	1.519952	1.519945	1.519978	1.519992	1.519992	1.519989	1.519970	1.520021	1.519901
1.520018	1.519963	1.520000	1.519992	1.519974	1.519901	1.519992	1.520120	1.520014	1.519981	1.520000	1.520014	1.520003	1.519985	1.519978	1.519963	1.519985	1.519959	1.519981	1.519916	1.520025	1.519970	1.520000	1.519938	1.519978	1.519996	1.520021	1.519930	1.519912	1.519959	1.520003	1.520021	1.519981	1.519981	1.520000	1.519996	1.519948	1.519989	1.519938	1.520029	1.519945	1.520025	1.519952	1.520029	1.519989	1.520003	1.519956	1.520058	1.520003
