subject	tube	rep	conc	NaF
1	1	1	0.103	0
1	1	2	0.103	0
2	1	1	0.102	0
2	1	2	0.102	0
3	1	1	0.092	0
3	1	2	0.096	0
4	1	1	0.139	0
4	1	2	0.14	0
5	1	1	0.1	0
5	1	2	0.101	0
6	1	1	0.075	0
6	1	2	0.073	0
1	2	1	0.102	5
1	2	2	0.102	5
2	2	1	0.101	5
2	2	2	0.1	5
3	2	1	0.093	5
3	2	2	0.095	5
4	2	1	0.137	5
4	2	2	0.139	5
5	2	1	0.099	5
5	2	2	0.099	5
6	2	1	0.073	5
6	2	2	0.072	5
1	3	1	0.102	10
1	3	2	0.104	10
2	3	1	0.1	10
2	3	2	0.1	10
3	3	1	0.094	10
3	3	2	0.094	10
4	3	1	0.135	10
4	3	2	0.137	10
5	3	1	0.099	10
5	3	2	0.1	10
6	3	1	0.072	10
6	3	2	0.073	10
