Expt	V	H	P	Count
1	574	HRH55	RN	194
2	502	HRH55	WC	163
3	562	HRH55	RN	190
4	479	HRH55	WC	200
5	585	HRH55	RN	228
6	518	HRH55	WC	250
7	553	HRH40	RN	402
8	512	HRH40	WC	219
9	534	HRH40	RN	406
10	479	HRH40	WC	198
11	541	HRH40	RN	456
12	483	HRH40	WC	180
13	443	HRH10	RN	571
14	463	HRH10	WC	301
15	417	HRH10	RN	324
16	449	HRH10	WC	275
17	424	HRH10	RN	402
18	428	HRH10	WC	214
19	919	HRH55	RN	2062
20	880	HRH55	WC	615
21	987	HRH55	RN	2747
22	886	HRH55	WC	674
23	900	HRH55	RN	987
24	885	HRH55	WC	624
25	940	HRH40	RN	2361
26	825	HRH40	WC	1053
27	909	HRH40	RN	1692
28	878	HRH40	WC	1120
29	910	HRH40	RN	3712
30	906	HRH40	WC	1910
31	972	HRH10	RN	3940
32	901	HRH10	WC	1674
33	831	HRH10	RN	1989
34	900	HRH10	WC	1547
35	982	HRH10	RN	6002
36	902	HRH10	WC	1497
37	1087	HRH55	RN	2552
39	1147	HRH55	RN	7798
41	1107	HRH55	RN	3013
43	1090	HRH40	RN	2848
45	1122	HRH40	RN	6014
47	1188	HRH40	RN	4888
49	1037	HRH10	RN	4793
51	1087	HRH10	RN	3681
53	1138	HRH10	RN	5127
55	1451	HRH55	RN	8955
57	1303	HRH55	RN	5027
59	1367	HRH55	RN	5148
61	1278	HRH40	RN	14496
63	1241	HRH40	RN	5499
65	1262	HRH40	RN	22035
67	1239	HRH10	RN	13814
69	1427	HRH10	RN	17659
71	1243	HRH10	RN	14380
