shot	size	distance
1	1.5	0.91
2	2.5	0.91
3	1.8	0.91
4	2.1	0.91
5	2.1	0.91
6	2.1	0.91
7	1.9	0.91
8	2	0.91
9	2.2	0.91
10	2	0.91
1	3.4	1.82
2	2.8	1.82
3	3.5	1.82
4	3.5	1.82
5	2.8	1.82
6	4.7	1.82
7	4.1	1.82
8	4.2	1.82
9	4.3	1.82
10	4.2	1.82
1	5.4	2.73
2	4.1	2.73
3	6.3	2.73
4	6	2.73
5	4.3	2.73
6	8.5	2.73
7	7	2.73
8	6.6	2.73
9	7.6	2.73
10	7.1	2.73
1	8.1	3.64
2	6.4	3.64
3	9.7	3.64
4	8.4	3.64
5	5.8	3.64
6	11.9	3.64
7	10.6	3.64
8	10.2	3.64
9	11.1	3.64
10	10.6	3.64
1	11	4.55
2	9.2	4.55
3	13.6	4.55
4	11.1	4.55
5	8.5	4.55
6	15.5	4.55
7	15.3	4.55
8	13.7	4.55
9	15	4.55
10	13.9	4.55
1	13.9	5.46
2	11.9	5.46
3	16.6	5.46
4	14.4	5.46
5	10.6	5.46
6	19	5.46
7	19.5	5.46
8	15.5	5.46
9	19.3	5.46
10	16.2	5.46
