abduct	age
Yes	0-10
Yes	0-10
Yes	0-10
Yes	0-10
Yes	0-10
Yes	0-10
Yes	0-10
Yes	0-10
Yes	0-10
Yes	0-10
Yes	0-10
Yes	0-10
Yes	0-10
Yes	0-10
Yes	0-10
Yes	0-10
Yes	0-10
Yes	0-10
Yes	0-10
Yes	0-10
Yes	0-10
Yes	0-10
Yes	0-10
Yes	0-10
Yes	0-10
Yes	0-10
Yes	0-10
Yes	0-10
Yes	0-10
Yes	0-10
Yes	0-10
Yes	0-10
Yes	0-10
Yes	0-10
Yes	0-10
Yes	0-10
Yes	0-10
Yes	11+
Yes	11+
Yes	11+
Yes	11+
Yes	11+
Yes	11+
Yes	11+
Yes	11+
Yes	11+
Yes	11+
Yes	11+
Yes	11+
Yes	11+
Yes	11+
Yes	11+
Yes	11+
Yes	11+
Yes	11+
Yes	11+
Yes	11+
Yes	11+
Yes	11+
Yes	11+
Yes	11+
Yes	11+
Yes	11+
No	0-10
No	0-10
No	0-10
No	0-10
No	0-10
No	0-10
No	0-10
No	0-10
No	0-10
No	0-10
No	0-10
No	0-10
No	0-10
No	0-10
No	0-10
No	0-10
No	0-10
No	0-10
No	0-10
No	0-10
No	0-10
No	0-10
No	0-10
No	0-10
No	0-10
No	0-10
No	0-10
No	0-10
No	0-10
No	0-10
No	0-10
No	0-10
No	0-10
No	0-10
No	0-10
No	0-10
No	0-10
No	0-10
No	0-10
No	0-10
No	0-10
No	0-10
No	0-10
No	0-10
No	0-10
No	0-10
No	0-10
No	0-10
No	0-10
No	0-10
No	0-10
No	0-10
No	0-10
No	0-10
No	0-10
No	0-10
No	0-10
No	0-10
No	0-10
No	0-10
No	0-10
No	0-10
No	0-10
No	0-10
No	0-10
No	0-10
No	0-10
No	0-10
No	0-10
No	0-10
No	0-10
No	0-10
No	0-10
No	0-10
No	0-10
No	0-10
No	0-10
No	0-10
No	0-10
No	0-10
No	0-10
No	0-10
No	0-10
No	0-10
No	0-10
No	0-10
No	0-10
No	0-10
No	0-10
No	0-10
No	0-10
No	0-10
No	11+
No	11+
No	11+
No	11+
No	11+
No	11+
No	11+
No	11+
No	11+
No	11+
No	11+
No	11+
No	11+
No	11+
No	11+
No	11+
No	11+
No	11+
No	11+
No	11+
No	11+
No	11+
No	11+
No	11+
No	11+
No	11+
No	11+
No	11+
No	11+
No	11+
No	11+
No	11+
No	11+
No	11+
No	11+
No	11+
No	11+
No	11+
No	11+
No	11+
No	11+
No	11+
No	11+
No	11+
No	11+
No	11+
No	11+
No	11+
No	11+
No	11+
No	11+
No	11+
No	11+
No	11+
No	11+
No	11+
No	11+
No	11+
No	11+
No	11+
No	11+
No	11+
No	11+
No	11+
No	11+
No	11+
No	11+
No	11+
No	11+
No	11+
No	11+
No	11+
No	11+
No	11+
No	11+
No	11+
No	11+
No	11+
No	11+
No	11+
No	11+
No	11+
No	11+
No	11+
No	11+
No	11+
No	11+
No	11+
No	11+
No	11+
No	11+
No	11+
No	11+
No	11+
No	11+
No	11+
No	11+
No	11+
No	11+
No	11+
No	11+
No	11+
No	11+
No	11+
No	11+
No	11+
No	11+
No	11+
No	11+
No	11+
No	11+
No	11+
No	11+
No	11+
No	11+
No	11+
No	11+
No	11+
No	11+
No	11+
No	11+
No	11+
No	11+
No	11+
No	11+
No	11+
No	11+
No	11+
No	11+
No	11+
No	11+
No	11+
No	11+
No	11+
No	11+
No	11+
No	11+
No	11+
No	11+
No	11+
No	11+
No	11+
No	11+
No	11+
No	11+
No	11+
No	11+
No	11+
No	11+
No	11+
No	11+
No	11+
No	11+
No	11+
No	11+
No	11+
No	11+
No	11+
No	11+
No	11+
No	11+
No	11+
No	11+
No	11+
No	11+
No	11+
No	11+
No	11+
No	11+
No	11+
No	11+
No	11+
No	11+
No	11+
No	11+
No	11+
No	11+
No	11+
No	11+
No	11+
No	11+
No	11+
No	11+
No	11+
No	11+
No	11+
No	11+
No	11+
No	11+
No	11+
No	11+
No	11+
No	11+
No	11+
No	11+
No	11+
No	11+
No	11+
