temp	ri	anneal
68.44	1.51881	pre
68.63	1.51874	pre
68.4	1.51883	pre
68.88	1.51865	pre
68.51	1.51878	pre
68.42	1.51882	pre
68.58	1.51876	pre
68.54	1.51877	pre
68.42	1.51882	pre
68.42	1.51882	pre
68.39	1.51883	pre
68.42	1.51882	pre
68.41	1.51882	pre
68.41	1.51882	pre
68.5	1.51879	pre
68.59	1.51876	pre
68.3	1.51886	pre
68.5	1.51879	pre
68.54	1.51877	pre
68.46	1.5188	pre
68.44	1.51881	pre
68.44	1.51881	pre
68.28	1.51887	pre
68.55	1.51877	pre
68.4	1.51883	pre
68.69	1.51872	pre
68.38	1.51883	pre
68.6	1.51875	pre
68.48	1.5188	pre
68.55	1.51877	pre
68.44	1.51881	pre
68.3	1.51886	pre
68.54	1.51877	pre
68.48	1.5188	pre
68.49	1.51879	pre
68.63	1.51874	pre
68.52	1.51878	pre
68.56	1.51877	pre
68.54	1.51877	pre
68.44	1.51881	pre
68.46	1.5188	pre
68.39	1.51883	pre
68.36	1.51884	pre
68.51	1.51878	pre
68.56	1.51877	pre
68.46	1.5188	pre
68.74	1.5187	pre
68.5	1.51879	pre
68.45	1.51881	pre
68.47	1.5188	pre
68.47	1.5188	pre
68.71	1.51871	pre
68.38	1.51883	pre
68.31	1.51886	pre
68.57	1.51876	pre
68.49	1.51879	pre
68.44	1.51881	pre
68.34	1.51885	pre
68.48	1.5188	pre
68.36	1.51884	pre
68.41	1.51882	pre
68.45	1.51881	pre
68.34	1.51885	pre
68.46	1.5188	pre
68.69	1.51872	pre
68.26	1.51888	pre
68.34	1.51885	pre
68.49	1.51879	pre
68.57	1.51876	pre
68.45	1.51881	pre
68.39	1.51883	pre
68.49	1.51879	pre
68.73	1.5187	pre
68.51	1.51878	pre
68.29	1.51887	pre
68.4	1.51883	pre
68.41	1.51882	pre
68.5	1.51879	pre
68.42	1.51882	pre
68.38	1.51883	pre
68.43	1.51881	pre
68.37	1.51884	pre
68.45	1.51881	pre
68.28	1.51887	pre
68.5	1.51879	pre
68.43	1.51881	pre
68.46	1.5188	pre
68.62	1.51874	pre
68.32	1.51885	pre
68.57	1.51876	pre
68.46	1.5188	pre
68.36	1.51884	pre
68.62	1.51874	pre
68.28	1.51887	pre
68.5	1.51879	pre
68.51	1.51878	pre
68.81	1.51867	pre
68.56	1.51877	pre
68.46	1.5188	pre
68.57	1.51876	pre
68.53	1.51878	pre
68.65	1.51873	pre
68.5	1.51879	pre
68.44	1.51881	pre
68.19	1.5189	pre
68.54	1.51877	pre
68.44	1.51881	pre
68.59	1.51876	pre
68.66	1.51873	pre
68.61	1.51875	pre
68.55	1.51877	pre
68.35	1.51884	pre
68.4	1.51883	pre
68.46	1.5188	pre
68.54	1.51877	pre
68.43	1.51881	pre
68.39	1.51883	pre
68.44	1.51881	pre
68.45	1.51881	pre
68.5	1.51879	pre
68.48	1.5188	pre
68.58	1.51876	pre
68.3	1.51886	pre
68.59	1.51876	pre
68.48	1.5188	pre
68.64	1.51874	pre
68.44	1.51881	pre
68.49	1.51879	pre
68.35	1.51884	pre
68.28	1.51887	pre
68.48	1.5188	pre
68.55	1.51877	pre
68.44	1.51881	pre
68.48	1.5188	pre
68.5	1.51879	pre
68.44	1.51881	pre
68.48	1.5188	pre
68.37	1.51884	pre
68.34	1.51885	pre
68.48	1.5188	pre
68.08	1.51894	pre
68.69	1.51872	pre
68.55	1.51877	pre
68.67	1.51873	pre
68.39	1.51883	pre
68.66	1.51873	pre
68.45	1.51881	pre
68.51	1.51878	pre
68.69	1.51872	pre
68.48	1.5188	pre
68.52	1.51878	pre
68.49	1.51879	pre
68.43	1.51881	pre
68.43	1.51881	pre
68.5	1.51879	pre
68.45	1.51881	pre
68.51	1.51878	pre
68.55	1.51877	pre
68.53	1.51878	pre
68.45	1.51881	pre
68.54	1.51877	pre
68.65	1.51873	pre
68.59	1.51876	pre
68.4	1.51883	pre
68.34	1.51885	pre
68.51	1.51878	pre
68.66	1.51873	pre
68.46	1.5188	pre
68.36	1.51884	pre
68.28	1.51887	pre
68.43	1.51881	pre
68.51	1.51878	pre
68.45	1.51881	pre
68.46	1.5188	pre
68.41	1.51882	pre
68.42	1.51882	pre
68.39	1.51883	pre
68.39	1.51883	pre
68.47	1.5188	pre
68.51	1.51878	pre
68.4	1.51883	pre
68.43	1.51881	pre
68.5	1.51879	pre
68.36	1.51884	pre
68.32	1.51885	pre
68.46	1.5188	pre
68.7	1.51872	pre
68.49	1.51879	pre
68.57	1.51876	pre
68.42	1.51882	pre
68.41	1.51882	pre
68.38	1.51883	pre
68.56	1.51877	pre
68.4	1.51883	pre
68.46	1.5188	pre
68.48	1.5188	pre
68.5	1.51879	pre
68.56	1.51877	pre
68.59	1.51876	pre
68.55	1.51877	pre
68.44	1.51881	pre
68.46	1.5188	pre
68.43	1.51881	pre
68.54	1.51877	pre
68.46	1.5188	pre
68.61	1.51875	pre
68.44	1.51881	pre
68.44	1.51881	pre
68.55	1.51877	pre
68.61	1.51875	pre
68.52	1.51878	pre
68.52	1.51878	pre
68.39	1.51883	pre
68.47	1.5188	pre
68.47	1.5188	pre
68.53	1.51878	pre
68.61	1.51875	pre
68.57	1.51876	pre
68.53	1.51878	pre
68.41	1.51882	pre
68.44	1.51881	pre
68.43	1.51881	pre
68.69	1.51872	pre
68.49	1.51879	pre
68.58	1.51876	pre
68.16	1.51891	pre
68.45	1.51881	pre
68.74	1.5187	pre
68.44	1.51881	pre
68.42	1.51882	pre
68.7	1.51872	pre
68.54	1.51877	pre
68.42	1.51882	pre
68.53	1.51878	pre
68.41	1.51882	pre
68.52	1.51878	pre
68.41	1.51882	pre
68.48	1.5188	pre
68.71	1.51871	pre
68.59	1.51876	pre
68.34	1.51885	pre
68.59	1.51876	pre
68.5	1.51879	pre
68.46	1.5188	pre
68.49	1.51879	pre
68.76	1.51869	pre
68.45	1.51881	pre
68.23	1.51889	pre
68.39	1.51883	pre
68.53	1.51878	pre
68.45	1.51881	pre
68.39	1.51883	pre
68.58	1.51876	pre
68.59	1.51876	pre
68.45	1.51881	pre
68.47	1.5188	pre
68.7	1.51872	pre
68.7	1.51872	pre
68.51	1.51878	pre
68.47	1.5188	pre
68.43	1.51881	pre
68.44	1.51881	pre
68.57	1.51876	pre
68.48	1.5188	pre
68.52	1.51878	pre
68.5	1.51879	pre
68.44	1.51881	pre
68.58	1.51876	pre
68.41	1.51882	pre
68.54	1.51877	pre
68.36	1.51884	pre
68.45	1.51881	pre
69	1.51861	pre
68.47	1.5188	pre
68.5	1.51879	pre
68.61	1.51875	pre
68.5	1.51879	pre
68.78	1.51869	pre
68.48	1.5188	pre
68.58	1.51876	pre
68.39	1.51883	pre
68.53	1.51878	pre
68.47	1.5188	pre
68.59	1.51876	pre
68.38	1.51883	pre
68.4	1.51883	pre
68.49	1.51879	pre
68.38	1.51883	pre
68.29	1.51887	pre
68.55	1.51877	pre
68.53	1.51878	pre
68.43	1.51881	pre
68.32	1.51885	pre
68.35	1.51884	pre
68.38	1.51883	pre
68.1	1.51894	pre
68.64	1.51874	pre
68.55	1.51877	pre
68.49	1.51879	pre
68.5	1.51879	pre
68.36	1.51884	pre
68.53	1.51878	pre
68.4	1.51883	pre
68.43	1.51881	pre
68.45	1.51881	pre
68.45	1.51881	pre
68.56	1.51877	pre
68.63	1.51874	pre
68.43	1.51881	pre
68.46	1.5188	pre
68.04	1.51896	pre
68.49	1.51879	pre
68.69	1.51872	pre
68.53	1.51878	pre
68.57	1.51876	pre
68.58	1.51876	pre
68.45	1.51881	pre
68.52	1.51878	pre
68.37	1.51884	pre
68.58	1.51876	pre
68.47	1.5188	pre
68.36	1.51884	pre
68.4	1.51883	pre
68.3	1.51886	pre
68.53	1.51878	pre
68.59	1.51876	pre
68.63	1.51874	pre
68.58	1.51876	pre
68.54	1.51877	pre
68.54	1.51877	pre
68.68	1.51872	pre
68.3	1.51886	pre
68.4	1.51883	pre
68.55	1.51877	pre
68.8	1.51868	pre
68.54	1.51877	pre
68.38	1.51883	pre
68.5	1.51879	pre
68.42	1.51882	pre
68.56	1.51877	pre
68.44	1.51881	pre
68.36	1.51884	pre
68.47	1.5188	pre
68.53	1.51878	pre
68.5	1.51879	pre
68.66	1.51873	pre
68.57	1.51876	pre
68.41	1.51882	pre
68.48	1.5188	pre
68.28	1.51887	pre
68.44	1.51881	pre
68.39	1.51883	pre
68.45	1.51881	pre
68.41	1.51882	pre
68.55	1.51877	pre
68.63	1.51874	pre
68.57	1.51876	pre
68.46	1.5188	pre
68.94	1.51863	pre
68.45	1.51881	pre
68.44	1.51881	pre
68.5	1.51879	pre
68.51	1.51878	pre
68.49	1.51879	pre
68.36	1.51884	pre
68.5	1.51879	pre
68.44	1.51881	pre
68.52	1.51878	pre
68.45	1.51881	pre
68.57	1.51876	pre
68.68	1.51872	pre
68.39	1.51883	pre
68.35	1.51884	pre
68.39	1.51883	pre
68.45	1.51881	pre
68.45	1.51881	pre
68.51	1.51878	pre
68.45	1.51881	pre
68.45	1.51881	pre
68.36	1.51884	pre
68.57	1.51876	pre
68.43	1.51881	pre
68.46	1.5188	pre
68.75	1.5187	pre
68.4	1.51883	pre
68.19	1.5189	pre
68.43	1.51881	pre
68.36	1.51884	pre
68.38	1.51883	pre
68.54	1.51877	pre
68.14	1.51892	pre
68.29	1.51887	pre
68.33	1.51885	pre
68.53	1.51878	pre
68.67	1.51873	pre
68.46	1.5188	pre
68.5	1.51879	pre
68.57	1.51876	pre
68.55	1.51877	pre
68.45	1.51881	pre
68.48	1.5188	pre
68.57	1.51876	pre
68.5	1.51879	pre
68.51	1.51878	pre
68.54	1.51877	pre
68.7	1.51872	pre
68.35	1.51884	pre
68.48	1.5188	pre
68.52	1.51878	pre
68.47	1.5188	pre
68.38	1.51883	pre
68.54	1.51877	pre
68.72	1.51871	pre
68.46	1.5188	pre
68.06	1.51895	pre
68.28	1.51887	pre
68.59	1.51876	pre
68.38	1.51883	pre
68.31	1.51886	pre
68.19	1.5189	pre
68.44	1.51881	pre
68.46	1.5188	pre
68.49	1.51879	pre
68.53	1.51878	pre
68.69	1.51872	pre
68.54	1.51877	pre
68.43	1.51881	pre
68.37	1.51884	pre
68.42	1.51882	pre
68.6	1.51875	pre
68.44	1.51881	pre
68.48	1.5188	pre
68.34	1.51885	pre
68.47	1.5188	pre
68.55	1.51877	pre
68.45	1.51881	pre
68.49	1.51879	pre
68.45	1.51881	pre
68.41	1.51882	pre
68.39	1.51883	pre
68.48	1.5188	pre
68.49	1.51879	pre
68.2	1.5189	pre
68.41	1.51882	pre
68.4	1.51883	pre
68.35	1.51884	pre
68.42	1.51882	pre
68.35	1.51884	pre
68.45	1.51881	pre
68.47	1.5188	pre
67.55	1.51914	post
67.31	1.51923	post
67.44	1.51918	post
67.37	1.5192	post
67.51	1.51915	post
67.41	1.51919	post
67.47	1.51917	post
67.66	1.5191	post
67.47	1.51917	post
67.46	1.51917	post
67.31	1.51923	post
67.4	1.51919	post
67.49	1.51916	post
67.68	1.51909	post
67.23	1.51925	post
67.34	1.51921	post
67.49	1.51916	post
67.5	1.51916	post
67.57	1.51913	post
67.62	1.51911	post
67.7	1.51908	post
67.51	1.51915	post
67.49	1.51916	post
67.47	1.51917	post
67.57	1.51913	post
67.52	1.51915	post
67.78	1.51905	post
67.45	1.51917	post
67.35	1.51921	post
67.24	1.51925	post
67.58	1.51913	post
67.69	1.51909	post
67.5	1.51916	post
67.6	1.51912	post
67.58	1.51913	post
67.53	1.51914	post
67.5	1.51916	post
67.51	1.51915	post
67.42	1.51919	post
67.32	1.51922	post
67.55	1.51914	post
67.54	1.51914	post
67.59	1.51912	post
67.56	1.51913	post
67.59	1.51912	post
67.35	1.51921	post
67.3	1.51923	post
67.51	1.51915	post
67.48	1.51916	post
67.87	1.51902	post
67.54	1.51914	post
67.66	1.5191	post
67.59	1.51912	post
67.57	1.51913	post
67.56	1.51913	post
67.48	1.51916	post
67.5	1.51916	post
67.55	1.51914	post
67.53	1.51914	post
66.96	1.51935	post
67.51	1.51915	post
67.54	1.51914	post
67.72	1.51907	post
67.57	1.51913	post
67.57	1.51913	post
67.49	1.51916	post
67.41	1.51919	post
67.42	1.51919	post
67.42	1.51919	post
67.51	1.51915	post
67.4	1.51919	post
67.59	1.51912	post
67.44	1.51918	post
67.28	1.51924	post
67.46	1.51917	post
67.67	1.51909	post
67.55	1.51914	post
67.42	1.51919	post
67.33	1.51922	post
67.41	1.51919	post
67.51	1.51915	post
66.32	1.51959	post
67.2	1.51927	post
67.2	1.51927	post
67.51	1.51915	post
67.52	1.51915	post
67.54	1.51914	post
67.53	1.51914	post
67.55	1.51914	post
67.7	1.51908	post
67.44	1.51918	post
67.45	1.51917	post
67.7	1.51908	post
67.51	1.51915	post
67.5	1.51916	post
67.57	1.51913	post
67.42	1.51919	post
67.61	1.51912	post
67.64	1.5191	post
67.34	1.51921	post
67.24	1.51925	post
67.46	1.51917	post
67.44	1.51918	post
67.54	1.51914	post
67.48	1.51916	post
67.56	1.51913	post
67.58	1.51913	post
67.63	1.51911	post
67.63	1.51911	post
67.42	1.51919	post
67.55	1.51914	post
67.44	1.51918	post
67.39	1.5192	post
67.47	1.51917	post
67.7	1.51908	post
67.62	1.51911	post
67.54	1.51914	post
67.48	1.51916	post
67.65	1.5191	post
67.46	1.51917	post
67.58	1.51913	post
67.59	1.51912	post
67.66	1.5191	post
67.64	1.5191	post
67.48	1.51916	post
67.34	1.51921	post
67.17	1.51928	post
67.22	1.51926	post
67.44	1.51918	post
67.58	1.51913	post
67.58	1.51913	post
67.73	1.51907	post
67.53	1.51914	post
67.66	1.5191	post
66.99	1.51934	post
67.7	1.51908	post
67.64	1.5191	post
67.34	1.51921	post
67.12	1.5193	post
67.36	1.51921	post
67.25	1.51925	post
67.59	1.51912	post
67.49	1.51916	post
67.61	1.51912	post
67.66	1.5191	post
67.56	1.51913	post
67.66	1.5191	post
67.56	1.51913	post
67.53	1.51914	post
67.76	1.51906	post
67.55	1.51914	post
67.44	1.51918	post
67.43	1.51918	post
67.46	1.51917	post
67.46	1.51917	post
67.49	1.51916	post
67.53	1.51914	post
67.5	1.51916	post
67.47	1.51917	post
67.53	1.51914	post
67.52	1.51915	post
67.7	1.51908	post
67.37	1.5192	post
67.23	1.51925	post
67.59	1.51912	post
67.56	1.51913	post
67.28	1.51924	post
67.43	1.51918	post
67.46	1.51917	post
67.33	1.51922	post
67.1	1.5193	post
67.62	1.51911	post
67.19	1.51927	post
67.34	1.51921	post
67.53	1.51914	post
67.42	1.51919	post
67.07	1.51931	post
67.55	1.51914	post
67.29	1.51923	post
67.51	1.51915	post
67.37	1.5192	post
67.47	1.51917	post
67.49	1.51916	post
67.05	1.51932	post
66.97	1.51935	post
67.31	1.51923	post
67.4	1.51919	post
67.41	1.51919	post
67.46	1.51917	post
67.53	1.51914	post
67.32	1.51922	post
67.64	1.5191	post
67.6	1.51912	post
67.49	1.51916	post
67.58	1.51913	post
67.59	1.51912	post
67.59	1.51912	post
67.71	1.519079	post
67.43	1.51918	post
67.46	1.51917	post
67.4	1.51919	post
67.52	1.51915	post
67.32	1.51922	post
67.47	1.51917	post
67.46	1.51917	post
67.49	1.51916	post
67.57	1.51913	post
67.47	1.51917	post
67.12	1.5193	post
67.58	1.51913	post
67.74	1.51907	post
67.4	1.51919	post
67.57	1.51913	post
67.05	1.51932	post
67.28	1.51924	post
67.48	1.51916	post
67.6	1.51912	post
67.48	1.51916	post
67.59	1.51912	post
67.4	1.51919	post
67.59	1.51912	post
67.44	1.51918	post
67.72	1.51907	post
67.47	1.51917	post
67.46	1.51917	post
67.59	1.51912	post
67.59	1.51912	post
67.46	1.51917	post
67.46	1.51917	post
67.53	1.51914	post
67.4	1.51919	post
67.62	1.51911	post
67.7	1.51908	post
67.51	1.51915	post
67.5	1.51916	post
67.58	1.51913	post
67.58	1.51913	post
67.49	1.51916	post
67.41	1.51919	post
67.43	1.51918	post
67.62	1.51911	post
67.53	1.51914	post
67.47	1.51917	post
67.45	1.51917	post
67.65	1.5191	post
67.65	1.5191	post
67.31	1.51923	post
67.26	1.51924	post
67.16	1.51928	post
67.28	1.51924	post
67.35	1.51921	post
67.51	1.51915	post
67.49	1.51916	post
67.43	1.51918	post
67.47	1.51917	post
67.21	1.51926	post
67.61	1.51912	post
67.59	1.51912	post
67.59	1.51912	post
67.62	1.51911	post
67.59	1.51912	post
67.61	1.51912	post
67.45	1.51917	post
67.47	1.51917	post
67.52	1.51915	post
67.53	1.51914	post
67.92	1.519	post
67.54	1.51914	post
67.48	1.51916	post
67.73	1.51907	post
67.34	1.51921	post
67.33	1.51922	post
67.46	1.51917	post
67.47	1.51917	post
67.5	1.51916	post
67.6	1.51912	post
67.29	1.51923	post
67.45	1.51917	post
67.15	1.51928	post
67.5	1.51916	post
67.86	1.51902	post
67.48	1.51916	post
67.48	1.51916	post
67.5	1.51916	post
67.41	1.51919	post
67.54	1.51914	post
67.51	1.51915	post
67.2	1.51927	post
67.35	1.51921	post
67	1.51934	post
67.49	1.51916	post
67.38	1.5192	post
67.5	1.51916	post
67.52	1.51915	post
67.47	1.51917	post
67.66	1.5191	post
67.42	1.51919	post
67.61	1.51912	post
67.55	1.51914	post
67.52	1.51915	post
67.38	1.5192	post
67.25	1.51925	post
67.41	1.51919	post
67.51	1.51915	post
67.45	1.51917	post
67.69	1.51909	post
67.48	1.51916	post
67.53	1.51914	post
67.43	1.51918	post
67.54	1.51914	post
67.47	1.51917	post
67.6	1.51912	post
67.51	1.51915	post
67.3	1.51923	post
67.37	1.5192	post
67.68	1.51909	post
67.76	1.51906	post
67.45	1.51917	post
67.51	1.51915	post
67.38	1.5192	post
67.58	1.51913	post
67.76	1.51906	post
67.92	1.519	post
67.49	1.51916	post
67.5	1.51916	post
67.49	1.51916	post
67.42	1.51919	post
67.34	1.51921	post
67.72	1.51907	post
67.54	1.51914	post
67.6	1.51912	post
67.43	1.51918	post
67.33	1.51922	post
67.46	1.51917	post
67.47	1.51917	post
67.48	1.51916	post
67.54	1.51914	post
67.6	1.51912	post
67.84	1.51903	post
