gender	age
Male	0-10
Male	0-10
Male	0-10
Male	0-10
Male	0-10
Male	0-10
Male	0-10
Male	0-10
Male	0-10
Male	0-10
Male	0-10
Male	0-10
Male	0-10
Male	0-10
Male	0-10
Male	0-10
Male	0-10
Male	0-10
Male	0-10
Male	0-10
Male	0-10
Male	0-10
Male	0-10
Male	0-10
Male	0-10
Male	0-10
Male	0-10
Male	0-10
Male	0-10
Male	0-10
Male	0-10
Male	0-10
Male	0-10
Male	0-10
Male	0-10
Male	0-10
Male	0-10
Male	0-10
Male	0-10
Male	0-10
Male	0-10
Male	0-10
Male	0-10
Male	0-10
Male	0-10
Male	0-10
Male	11+
Male	11+
Male	11+
Male	11+
Male	11+
Male	11+
Male	11+
Male	11+
Male	11+
Male	11+
Male	11+
Male	11+
Male	11+
Male	11+
Male	11+
Male	11+
Male	11+
Male	11+
Male	11+
Male	11+
Male	11+
Male	11+
Male	11+
Male	11+
Male	11+
Male	11+
Male	11+
Male	11+
Male	11+
Male	11+
Male	11+
Male	11+
Male	11+
Male	11+
Male	11+
Male	11+
Male	11+
Male	11+
Male	11+
Male	11+
Male	11+
Male	11+
Male	11+
Female	0-10
Female	0-10
Female	0-10
Female	0-10
Female	0-10
Female	0-10
Female	0-10
Female	0-10
Female	0-10
Female	0-10
Female	0-10
Female	0-10
Female	0-10
Female	0-10
Female	0-10
Female	0-10
Female	0-10
Female	0-10
Female	0-10
Female	0-10
Female	0-10
Female	0-10
Female	0-10
Female	0-10
Female	0-10
Female	0-10
Female	0-10
Female	0-10
Female	0-10
Female	0-10
Female	0-10
Female	0-10
Female	0-10
Female	0-10
Female	0-10
Female	0-10
Female	0-10
Female	0-10
Female	0-10
Female	0-10
Female	0-10
Female	0-10
Female	0-10
Female	0-10
Female	0-10
Female	0-10
Female	0-10
Female	0-10
Female	0-10
Female	0-10
Female	0-10
Female	0-10
Female	0-10
Female	0-10
Female	0-10
Female	0-10
Female	0-10
Female	0-10
Female	0-10
Female	0-10
Female	0-10
Female	0-10
Female	0-10
Female	0-10
Female	0-10
Female	0-10
Female	0-10
Female	0-10
Female	0-10
Female	0-10
Female	0-10
Female	0-10
Female	0-10
Female	0-10
Female	0-10
Female	0-10
Female	0-10
Female	0-10
Female	0-10
Female	0-10
Female	0-10
Female	0-10
Female	0-10
Female	0-10
Female	0-10
Female	0-10
Female	0-10
Female	0-10
Female	0-10
Female	0-10
Female	0-10
Female	0-10
Female	0-10
Female	0-10
Female	0-10
Female	0-10
Female	0-10
Female	0-10
Female	0-10
Female	0-10
Female	0-10
Female	0-10
Female	11+
Female	11+
Female	11+
Female	11+
Female	11+
Female	11+
Female	11+
Female	11+
Female	11+
Female	11+
Female	11+
Female	11+
Female	11+
Female	11+
Female	11+
Female	11+
Female	11+
Female	11+
Female	11+
Female	11+
Female	11+
Female	11+
Female	11+
Female	11+
Female	11+
Female	11+
Female	11+
Female	11+
Female	11+
Female	11+
Female	11+
Female	11+
Female	11+
Female	11+
Female	11+
Female	11+
Female	11+
Female	11+
Female	11+
Female	11+
Female	11+
Female	11+
Female	11+
Female	11+
Female	11+
Female	11+
Female	11+
Female	11+
Female	11+
Female	11+
Female	11+
Female	11+
Female	11+
Female	11+
Female	11+
Female	11+
Female	11+
Female	11+
Female	11+
Female	11+
Female	11+
Female	11+
Female	11+
Female	11+
Female	11+
Female	11+
Female	11+
Female	11+
Female	11+
Female	11+
Female	11+
Female	11+
Female	11+
Female	11+
Female	11+
Female	11+
Female	11+
Female	11+
Female	11+
Female	11+
Female	11+
Female	11+
Female	11+
Female	11+
Female	11+
Female	11+
Female	11+
Female	11+
Female	11+
Female	11+
Female	11+
Female	11+
Female	11+
Female	11+
Female	11+
Female	11+
Female	11+
Female	11+
Female	11+
Female	11+
Female	11+
Female	11+
Female	11+
Female	11+
Female	11+
Female	11+
Female	11+
Female	11+
Female	11+
Female	11+
Female	11+
Female	11+
Female	11+
Female	11+
Female	11+
Female	11+
Female	11+
Female	11+
Female	11+
Female	11+
Female	11+
Female	11+
Female	11+
Female	11+
Female	11+
Female	11+
Female	11+
Female	11+
Female	11+
Female	11+
Female	11+
Female	11+
Female	11+
Female	11+
Female	11+
Female	11+
Female	11+
Female	11+
Female	11+
Female	11+
Female	11+
Female	11+
Female	11+
Female	11+
Female	11+
Female	11+
Female	11+
Female	11+
Female	11+
Female	11+
Female	11+
Female	11+
Female	11+
Female	11+
Female	11+
Female	11+
Female	11+
Female	11+
Female	11+
Female	11+
Female	11+
Female	11+
Female	11+
Female	11+
Female	11+
Female	11+
Female	11+
Female	11+
Female	11+
Female	11+
Female	11+
Female	11+
Female	11+
Female	11+
Female	11+
Female	11+
Female	11+
Female	11+
Female	11+
Female	11+
Female	11+
Female	11+
Female	11+
Female	11+
Female	11+
Female	11+
Female	11+
Female	11+
Female	11+
Female	11+
Female	11+
Female	11+
Female	11+
Female	11+
Female	11+
Female	11+
Female	11+
Female	11+
Female	11+
Female	11+
Female	11+
Female	11+
Female	11+
Female	11+
Female	11+
Female	11+
Female	11+
Female	11+
Female	11+
Female	11+
Female	11+
Female	11+
Female	11+
Female	11+
Female	11+
Female	11+
Female	11+
Female	11+
