person	sample	ab.sample	time	amylase	quant	amp.volume	dna.conc	gel.profile	failed.profile	d3	vwa	d16	d2	amelogenin	d8	d21	d18	d19	th01	fga
A	WATER	W	48	0.5	0.04	12.5	0.5	FULL	F	1165	615	444	292	756	475	456	363	679	395	351
A	WATER	W	24	2	0.01	20	0.2	FULL	F	1651	1008	582	626	1628	839	650	535	1123	627	537
A	COKE.CAN	CC	48	2	0.04	12.5	0.5	FULL	F	463	225	206	300	397	227	194	163	276	256	149
A	COKE.CAN	CC	24	1.5	0.1	5	0.5	FULL	F	1011	586	402	479	713	489	386	465	748	397	349
A	COKE.BOTTLE	CB	48	1	0.1	5	0.5	PARTIAL	F	289	221	139	170	197	0	115	0	204	160	124
A	COKE.BOTTLE	CB	24	2	0.04	12.5	0.5	FULL	F	1754	1011	702	960	1200	731	839	631	1201	797	672
A	MILK	M	48	2.5	0.01	20	0.2	FULL	F	633	398	169	268	518	360	247	241	420	259	164
A	MILK	M	24	3	0.004	20	0.08	FULL	F	702	381	262	250	591	330	269	178	466	247	174
A	OJ	OJ	48	2	0.2	2.5	0.5	FULL	F	521	446	341	411	565	334	342	319	358	334	288
A	OJ	OJ	24	0	0	0	0	N.R	T	0	0	0	0	0	0	0	0	0	0	0
A	BEER.CAN	BC	48	1.5	0.1	5	0.5	PARTIAL	F	240	172	182	134	200	152	107	154	0	112	131
A	BEER.CAN	BC	24	2	0.1	5	0.5	FULL	F	499	298	277	230	409	320	276	181	329	171	156
A	BEER.BOTTLE	BB	48	2	0.004	20	0.08	FULL	F	1073	837	779	609	907	844	634	636	633	482	430
A	BEER.BOTTLE	BB	24	2	0.01	20	0.2	PARTIAL	F	252	170	148	157	353	222	218	108	171	142	0
A	STOLICHNAYA	S	48	0	0.004	20	0.08	FULL	F	1917	1135	785	502	1781	1240	934	502	1177	671	446
A	STOLICHNAYA	S	24	0	0.004	20	0.08	FULL	F	728	562	473	344	622	552	509	382	517	307	244
A	MIXED.SPIRIT	MS	48	1.5	0.02	20	0.4	PARTIAL	T	192	177	80	0	117	193	0	0	237	0	0
A	MIXED.SPIRIT	MS	24	0	0.01	20	0.2	PARTIAL	T	152	0	0	0	104	0	0	0	128	0	0
A	REF	R	0	2	0.4	1	0.4	FULL	F	10395	7078	4538	3752	5660	6997	5270	2340	7383	4178	2639
B	WATER	W	48	2	0.1	5	0.5	FULL	F	2021	1399	893	990	2102	1140	823	694	1640	990	703
B	WATER	W	24	3	0.04	12.5	0.5	FULL	F	3844	2547	1703	1694	3444	1868	1448	1308	2451	1572	1344
B	COKE.CAN	CC	48	2	0.2	2.5	0.5	FULL	F	708	1295	613	760	1127	596	492	511	888	485	467
B	COKE.CAN	CC	24	2	0.1	5	0.5	FULL	F	3026	1776	1380	1495	2887	1323	1101	1141	2141	1340	1086
B	COKE.BOTTLE	CB	48	2	0.2	2.5	0.5	FULL	F	921	509	376	388	968	510	323	229	596	321	257
B	COKE.BOTTLE	CB	24	2	0.1	5	0.5	FULL	F	1445	843	562	558	1170	705	600	558	870	709	440
B	MILK	M	48	3	0.04	12.5	0.5	FULL	F	2220	1224	856	1049	1846	1057	774	897	1512	1057	801
B	MILK	M	24	2	0.004	20	0.08	FULL	F	1058	578	291	324	1070	544	248	321	687	406	221
B	OJ	OJ	48	2	0.2	2.5	0.5	FULL	F	758	500	496	469	579	361	419	409	581	365	339
B	OJ	OJ	24	1	0.1	5	0.5	FULL	F	165	136	114	146	155	159	91	103	121	134	133
B	BEER.CAN	BC	48	1.5	0.1	5	0.5	FULL	F	1224	650	393	284	1248	874	468	370	704	334	339
B	BEER.CAN	BC	24	2.5	0.2	2.5	0.5	FULL	F	662	475	336	232	619	471	311	289	408	240	178
B	BEER.BOTTLE	BB	48	2	0.004	20	0.08	PARTIAL	F	544	264	163	0	474	388	146	164	493	159	145
B	BEER.BOTTLE	BB	24	2.5	0.01	20	0.2	FULL	F	1043	754	680	520	1244	793	561	446	793	409	394
B	STOLICHNAYA	S	48	1	0.02	20	0.4	FULL	F	1142	841	631	478	1187	859	640	512	729	468	422
B	STOLICHNAYA	S	24	0	0.01	20	0.2	FULL	F	3879	3185	2511	2026	3447	3224	2300	1954	1641	1908	1610
B	MIXED.SPIRIT	MS	48	2	0.02	20	0.4	FULL	F	1391	852	524	356	895	952	547	387	954	433	315
B	MIXED.SPIRIT	MS	24	2	0.04	20	0.8	FULL	F	2135	1292	744	485	1345	1324	976	564	1444	606	581
B	REF	R	0	2	0.4	1	0.4	FULL	F	13713	6482	8612	6962	4243	11107	7115	4677	10917	7001	4739
C	WATER	W	48	0.5	0.02	20	0.4	FULL	F	807	555	352	301	532	468	310	257	609	329	258
C	WATER	W	24	0	0.004	20	0.08	FULL	F	731	407	311	209	634	418	299	244	443	313	223
C	COKE.CAN	CC	48	1	0.2	2.5	0.5	FULL	F	1049	757	609	583	1004	641	473	643	852	475	413
C	COKE.CAN	CC	24	1	0.04	12.5	0.5	FULL	F	4792	3420	2619	2429	4431	2791	2159	2151	3308	2116	2034
C	COKE.BOTTLE	CB	48	0	0.1	5	0.5	FULL	F	521	286	221	249	379	202	203	187	305	143	157
C	COKE.BOTTLE	CB	24	0	0.01	20	0.2	FULL	F	671	419	343	394	530	297	300	295	401	294	217
C	MILK	M	48	0	0.01	20	0.2	FULL	F	1598	907	525	446	1121	545	540	403	1013	745	523
C	MILK	M	24	0	0.004	20	0.08	FULL	F	866	455	325	322	808	475	370	293	554	360	226
C	OJ	OJ	48	0	0.1	5	0.5	PARTIAL	T	185	0	0	0	119	0	0	0	0	53	0
C	OJ	OJ	24	0	0.01	20	0.2	PARTIAL	T	253	0	0	0	169	212	0	0	291	59	50
C	BEER.CAN	BC	48	0.5	0.2	2.5	0.5	FULL	F	584	343	267	242	567	367	257	230	460	263	195
C	BEER.CAN	BC	24	0	0.1	5	0.5	PARTIAL	T	134	119	0	0	126	0	0	0	0	0	0
C	BEER.BOTTLE	BB	48	0	0	0	0	N.R	T	0	0	0	0	0	0	0	0	0	0	0
C	BEER.BOTTLE	BB	24	0	0.004	20	0.08	PARTIAL	F	333	172	127	0	271	178	129	0	198	134	117
C	STOLICHNAYA	S	48	0	0.02	20	0.4	N.R	T	0	0	0	0	0	0	0	0	0	0	0
C	STOLICHNAYA	S	24	1	0.01	20	0.2	PARTIAL	T	172	0	0	0	236	149	0	0	129	0	0
C	MIXED.SPIRIT	MS	48	0	0.004	20	0.08	FULL	F	1876	1109	976	638	1474	1182	933	738	1138	766	655
C	MIXED.SPIRIT	MS	24	0	0.004	20	0.08	FULL	F	861	489	451	323	795	507	428	391	537	304	288
C	REF	R	0	3	0.2	2	0.4	FULL	F	7153	7865	4715	3029	5156	8421	4701	2163	7895	4360	2424
